model,accuracy,precision,recall_sensitivity,f1,roc_auc,cv_accuracy_mean,cv_accuracy_std,cv_precision_mean,cv_precision_std,cv_recall_sensitivity_mean,cv_recall_sensitivity_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std
Logistic Regression,0.8899082568807339,0.8,0.8888888888888888,0.8421052631578947,0.9512937595129375,0.8761128100577642,0.027990711989565,0.7748436073981646,0.05176915904663276,0.8814285714285713,0.02076637008435083,0.8239575298149584,0.03504524180104413,0.9404808412456814,0.004133397711596001
Gradient Boosting (XGBoost fallback),0.9357798165137615,0.9393939393939394,0.8611111111111112,0.8985507246376812,0.9474885844748859,0.9038905878355419,0.02901180124601241,0.8866576307942532,0.05961055487829545,0.8139682539682539,0.0593523456337215,0.846996862598516,0.04624778958111062,0.9588092822111086,0.013309266985448853
Stacking Ensemble (RF + boosted-tree fallback),0.908256880733945,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.94558599695586,0.8927794767244309,0.03593958512284987,0.8271605982132298,0.06146116486718895,0.8531746031746031,0.05480674492700303,0.8391534792768256,0.05239157191777602,0.9603278792491123,0.01204667256580751
Gradient Boosting (XGBoost fallback) (calibrated),0.9357798165137615,0.967741935483871,0.8333333333333334,0.8955223880597015,0.9505327245053273,0.9149847094801224,0.018821568692066717,0.920017415534657,0.046291483884636775,0.8134920634920636,0.046184748458488405,0.8621397801544861,0.03164144897443612,0.9623958408832838,0.00994408156655453
Random Forest (calibrated),0.9174311926605505,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.947869101978691,0.9057084607543324,0.02586090365512363,0.8842231716063752,0.02786360769198677,0.8192063492063493,0.07282307188273432,0.8490338303589683,0.04630738464816385,0.9591407854364474,0.010414581571131704
Random Forest,0.908256880733945,0.8823529411764706,0.8333333333333334,0.8571428571428571,0.9444444444444444,0.9020047570506285,0.020060639496972184,0.8779625236521789,0.01674865960851457,0.8133333333333335,0.06153819020425867,0.8433571716357775,0.037351119201710914,0.957052620134812,0.008875419086501163
